Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,301 Co,301.Arq COST,301.Cost Price,301.V.S.P.,301.AVG. WEEK,302 Co,302.Arq COST,302.Cost Price,302.V.S.P.,302.AVG. WEEK,306 Co,306.Arq COST,306.Cost Price,306.V.S.P.,306.AVG. WEEK,307 Co,307.Arq COST,307.Cost Price,307.V.S.P.,307.AVG. WEEK,Latest SOH,total sale of Goods,Status
734836,6953156281479.0,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,51.99000000000001,74.5,149,1.0,51.99,74.5,149.0,0.25,2.0,103.98,149.0,298.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.0,Fast moving
734837,6953156282964.0,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,5.260000000000002,24.5,49,6.0,31.56,147.0,294.0,1.5,3.0,15.78,73.5,147.0,0.75,2.0,10.52,49.0,98.0,0.5,3.0,15.78,73.5,147.0,0.75,52,14.0,Fast moving
734838,6953156282971.0,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,5.389999999999992,24.5,49,2.0,10.78,49.0,98.0,0.5,3.0,16.17,73.5,147.0,0.75,4.0,21.56,98.0,196.0,1.0,2.0,10.78,49.0,98.0,0.5,24,11.0,Fast moving
734867,6953156273887.0,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,57.06000000000004,109.5,219,0.0,0.0,0.0,0.0,0.0,2.0,114.12,219.0,438.0,0.5,1.0,57.06,109.5,219.0,0.25,0.0,0.0,0.0,0.0,0.0,12,3.0,Fast moving
734868,6953156273894.0,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,109.5,219,1.0,53.97,109.5,219.0,0.25,2.0,107.94,219.0,438.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.0,Fast moving
734881,6953156280243.0,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,41.14999999999977,89.5,179,4.0,164.6,358.0,716.0,1.0,3.0,123.45,268.5,537.0,0.75,2.0,82.3,179.0,358.0,0.5,3.0,123.45,268.5,537.0,0.75,42,12.0,Fast moving
734882,6953156278844.0,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,37.61867256637168,69.5,139,0.0,0.0,0.0,0.0,0.0,1.0,37.62,69.5,139.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,Slow moving
734895,6953156276413.0,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,24.729999999999976,49.5,99,1.0,24.73,49.5,99.0,0.25,3.0,74.19,148.5,297.0,0.75,2.0,49.46,99.0,198.0,0.5,0.0,0.0,0.0,0.0,0.0,5,6.0,Fast moving
734899,6953156273030.0,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,25.360000000000007,54.5,109,1.0,25.36,54.5,109.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,Slow moving
734904,6953156278622.0,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,27.0,64.5,129,2.0,54.0,129.0,258.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,64.5,129.0,0.25,10,3.0,Fast moving
